Quarter,HB,LengthOfStay,Episodes
2021Q2,Ayrshire and Arran,145,155
2021Q3,Ayrshire and Arran,151,126
2021Q4,Ayrshire and Arran,218,108
2022Q1,Ayrshire and Arran,69,94
2022Q2,Ayrshire and Arran,82,109
2022Q3,Ayrshire and Arran,66,139
2017Q3,Ayrshire and Arran,552,326
2017Q4,Ayrshire and Arran,439,362
2018Q1,Ayrshire and Arran,367,289
2018Q2,Ayrshire and Arran,455,344
2018Q3,Ayrshire and Arran,501,312
2018Q4,Ayrshire and Arran,543,320
2019Q1,Ayrshire and Arran,623,294
2019Q2,Ayrshire and Arran,511,327
2019Q3,Ayrshire and Arran,482,312
2019Q4,Ayrshire and Arran,386,258
2020Q1,Ayrshire and Arran,376,264
2020Q2,Ayrshire and Arran,318,201
2020Q3,Ayrshire and Arran,392,283
2020Q4,Ayrshire and Arran,430,202
2021Q1,Ayrshire and Arran,304,176
2021Q2,Ayrshire and Arran,509,197
2021Q3,Ayrshire and Arran,404,216
2021Q4,Ayrshire and Arran,549,215
2022Q1,Ayrshire and Arran,263,150
2022Q2,Ayrshire and Arran,330,175
2022Q3,Ayrshire and Arran,542,222
2017Q3,Ayrshire and Arran,777,442
2017Q4,Ayrshire and Arran,1006,437
2018Q1,Ayrshire and Arran,693,445
2018Q2,Ayrshire and Arran,842,494
2018Q3,Ayrshire and Arran,769,465
2018Q4,Ayrshire and Arran,1170,522
2019Q1,Ayrshire and Arran,907,459
2019Q2,Ayrshire and Arran,857,443
2019Q3,Ayrshire and Arran,902,462
2019Q4,Ayrshire and Arran,737,463
2020Q1,Ayrshire and Arran,741,387
2020Q2,Ayrshire and Arran,598,300
2020Q3,Ayrshire and Arran,778,417
2020Q4,Ayrshire and Arran,849,341
2021Q1,Ayrshire and Arran,484,249
2021Q2,Ayrshire and Arran,674,314
2021Q3,Ayrshire and Arran,701,308
2021Q4,Ayrshire and Arran,775,304
2022Q1,Ayrshire and Arran,447,205
2022Q2,Ayrshire and Arran,652,220
2022Q3,Ayrshire and Arran,500,288
2017Q3,Ayrshire and Arran,1290,584
2017Q4,Ayrshire and Arran,1369,636
2018Q1,Ayrshire and Arran,2119,536
2018Q2,Ayrshire and Arran,1541,655
2018Q3,Ayrshire and Arran,1367,645
2018Q4,Ayrshire and Arran,1492,642
2019Q1,Ayrshire and Arran,1137,627
2019Q2,Ayrshire and Arran,1330,603
2019Q3,Ayrshire and Arran,1369,652
2019Q4,Ayrshire and Arran,1150,551
2020Q1,Ayrshire and Arran,813,469
2020Q2,Ayrshire and Arran,871,434
2020Q3,Ayrshire and Arran,1277,470
2020Q4,Ayrshire and Arran,1279,481
2021Q1,Ayrshire and Arran,1147,405
2021Q2,Ayrshire and Arran,1124,433
2021Q3,Ayrshire and Arran,1210,420
2021Q4,Ayrshire and Arran,1338,399
2022Q1,Ayrshire and Arran,1183,330
2022Q2,Ayrshire and Arran,1023,325
2022Q3,Ayrshire and Arran,1039,342
2017Q3,Ayrshire and Arran,2422,1087
2017Q4,Ayrshire and Arran,2856,1092
2018Q1,Ayrshire and Arran,1966,957
2018Q2,Ayrshire and Arran,2504,977
2018Q3,Ayrshire and Arran,2300,1070
2018Q4,Ayrshire and Arran,2391,1083
2019Q1,Ayrshire and Arran,2046,1105
2019Q2,Ayrshire and Arran,1986,1049
2019Q3,Ayrshire and Arran,2171,1062
2019Q4,Ayrshire and Arran,2786,1037
2020Q1,Ayrshire and Arran,2935,957
2020Q2,Ayrshire and Arran,2429,721
2020Q3,Ayrshire and Arran,2306,894
2020Q4,Ayrshire and Arran,2833,862
2021Q1,Ayrshire and Arran,3066,791
2021Q2,Ayrshire and Arran,2627,777
2021Q3,Ayrshire and Arran,2827,864
2021Q4,Ayrshire and Arran,4042,806
2022Q1,Ayrshire and Arran,2345,618
2022Q2,Ayrshire and Arran,3174,699
2022Q3,Ayrshire and Arran,2424,707
2017Q3,Ayrshire and Arran,4118,1345
2017Q4,Ayrshire and Arran,4749,1446
2018Q1,Ayrshire and Arran,5202,1419
2018Q2,Ayrshire and Arran,4636,1444
2018Q3,Ayrshire and Arran,4820,1357
2018Q4,Ayrshire and Arran,3270,1410
2019Q1,Ayrshire and Arran,4791,1458
2019Q2,Ayrshire and Arran,3988,1472
2019Q3,Ayrshire and Arran,3877,1433
2019Q4,Ayrshire and Arran,3642,1339
2020Q1,Ayrshire and Arran,3612,1140
2020Q2,Ayrshire and Arran,4237,1062
2020Q3,Ayrshire and Arran,3530,1290
2020Q4,Ayrshire and Arran,4113,1223
2021Q1,Ayrshire and Arran,4545,1018
2021Q2,Ayrshire and Arran,4282,1078
2021Q3,Ayrshire and Arran,4502,1148
2021Q4,Ayrshire and Arran,4138,995
2022Q1,Ayrshire and Arran,4697,933
2022Q2,Ayrshire and Arran,5033,988
2022Q3,Ayrshire and Arran,4757,1074
2017Q3,Ayrshire and Arran,5940,1606
2017Q4,Ayrshire and Arran,6656,1606
2018Q1,Ayrshire and Arran,7100,1715
2018Q2,Ayrshire and Arran,7728,1610
2018Q3,Ayrshire and Arran,6295,1439
2018Q4,Ayrshire and Arran,6087,1609
2019Q1,Ayrshire and Arran,6154,1428
2019Q2,Ayrshire and Arran,5997,1634
2019Q3,Ayrshire and Arran,7026,1584
2019Q4,Ayrshire and Arran,6446,1604
2020Q1,Ayrshire and Arran,6969,1389
2020Q2,Ayrshire and Arran,5352,1060
2020Q3,Ayrshire and Arran,5764,1366
2020Q4,Ayrshire and Arran,7052,1326
2021Q1,Ayrshire and Arran,5812,1185
2021Q2,Ayrshire and Arran,6177,1371
2021Q3,Ayrshire and Arran,6220,1286
2021Q4,Ayrshire and Arran,5947,1149
2022Q1,Ayrshire and Arran,6465,1149
2022Q2,Ayrshire and Arran,6280,1223
2022Q3,Ayrshire and Arran,6179,1320
2017Q3,Ayrshire and Arran,5028,905
2017Q4,Ayrshire and Arran,6139,958
2018Q1,Ayrshire and Arran,5529,891
2018Q2,Ayrshire and Arran,5890,896
2018Q3,Ayrshire and Arran,5818,895
2018Q4,Ayrshire and Arran,4753,935
2019Q1,Ayrshire and Arran,5627,954
2019Q2,Ayrshire and Arran,5259,876
2019Q3,Ayrshire and Arran,4879,856
2019Q4,Ayrshire and Arran,5257,980
2020Q1,Ayrshire and Arran,5755,902
2020Q2,Ayrshire and Arran,4914,675
2020Q3,Ayrshire and Arran,4870,811
2020Q4,Ayrshire and Arran,4755,789
2021Q1,Ayrshire and Arran,5153,703
2021Q2,Ayrshire and Arran,5404,802
2021Q3,Ayrshire and Arran,5420,845
2021Q4,Ayrshire and Arran,5860,834
2022Q1,Ayrshire and Arran,7396,747
2022Q2,Ayrshire and Arran,6296,753
2022Q3,Ayrshire and Arran,7603,882
2017Q3,Ayrshire and Arran,1339,166
2017Q4,Ayrshire and Arran,1319,158
2018Q1,Ayrshire and Arran,2560,158
2018Q2,Ayrshire and Arran,1160,118
2018Q3,Ayrshire and Arran,842,118
2018Q4,Ayrshire and Arran,972,122
2019Q1,Ayrshire and Arran,1091,172
2019Q2,Ayrshire and Arran,778,117
2019Q3,Ayrshire and Arran,779,128
2019Q4,Ayrshire and Arran,1010,152
2020Q1,Ayrshire and Arran,1122,124
2020Q2,Ayrshire and Arran,767,108
2020Q3,Ayrshire and Arran,901,126
2020Q4,Ayrshire and Arran,1003,150
2021Q1,Ayrshire and Arran,1396,128
2021Q2,Ayrshire and Arran,812,113
2021Q3,Ayrshire and Arran,1001,130
2021Q4,Ayrshire and Arran,1616,147
2022Q1,Ayrshire and Arran,1588,155
2022Q2,Ayrshire and Arran,1631,146
2022Q3,Ayrshire and Arran,1375,149
2017Q3,Borders,16,25
2017Q4,Borders,0,12
2018Q1,Borders,5,5
2018Q2,Borders,5,22
2018Q3,Borders,5,19
2018Q4,Borders,5,15
2019Q1,Borders,0,10
2019Q2,Borders,5,16
2019Q3,Borders,8,16
2019Q4,Borders,0,10
2020Q1,Borders,0,10
2020Q2,Borders,5,0
2020Q3,Borders,7,5
2020Q4,Borders,0,10
2021Q1,Borders,5,5
2021Q2,Borders,5,5
2021Q3,Borders,0,5
2021Q4,Borders,0,0
2022Q1,Borders,0,0
2022Q2,Borders,10,14
2022Q3,Borders,8,11
2017Q3,Borders,71,76
2017Q4,Borders,73,54
2018Q1,Borders,78,45
2018Q2,Borders,36,49
2018Q3,Borders,103,56
2018Q4,Borders,54,51
2019Q1,Borders,22,35
2019Q2,Borders,59,50
2019Q3,Borders,54,46
2019Q4,Borders,32,41
2020Q1,Borders,51,37
2020Q2,Borders,20,16
2020Q3,Borders,74,42
2020Q4,Borders,27,28
2021Q1,Borders,196,33
2021Q2,Borders,49,39
2021Q3,Borders,14,15
2021Q4,Borders,44,24
2022Q1,Borders,31,29
2022Q2,Borders,26,11
2022Q3,Borders,25,24
2017Q3,Borders,181,118
2017Q4,Borders,131,113
2018Q1,Borders,153,99
2018Q2,Borders,335,142
2018Q3,Borders,189,120
2018Q4,Borders,118,95
2019Q1,Borders,126,113
2019Q2,Borders,186,110
2019Q3,Borders,139,88
2019Q4,Borders,109,80
2020Q1,Borders,135,101
2020Q2,Borders,80,59
2020Q3,Borders,128,71
2020Q4,Borders,81,61
2021Q1,Borders,146,70
2021Q2,Borders,87,59
2021Q3,Borders,80,35
2021Q4,Borders,77,47
2022Q1,Borders,61,39
2022Q2,Borders,66,63
2022Q3,Borders,111,59
2017Q3,Borders,140,130
2017Q4,Borders,248,161
2018Q1,Borders,146,128
2018Q2,Borders,205,141
2018Q3,Borders,193,159
2018Q4,Borders,151,117
2019Q1,Borders,262,143
2019Q2,Borders,171,146
2019Q3,Borders,191,130
2019Q4,Borders,169,122
2020Q1,Borders,188,145
2020Q2,Borders,114,88
2020Q3,Borders,136,95
2020Q4,Borders,253,91
2021Q1,Borders,192,116
2021Q2,Borders,200,119
2021Q3,Borders,225,123
2021Q4,Borders,82,71
2022Q1,Borders,104,92
2022Q2,Borders,58,79
2022Q3,Borders,96,122
2017Q3,Borders,407,230
2017Q4,Borders,322,223
2018Q1,Borders,430,208
2018Q2,Borders,370,190
2018Q3,Borders,332,238
2018Q4,Borders,466,230
2019Q1,Borders,335,202
2019Q2,Borders,370,220
2019Q3,Borders,331,210
2019Q4,Borders,458,162
2020Q1,Borders,274,152
2020Q2,Borders,241,138
2020Q3,Borders,260,167
2020Q4,Borders,267,122
2021Q1,Borders,334,142
2021Q2,Borders,391,205
2021Q3,Borders,208,131
2021Q4,Borders,293,171
2022Q1,Borders,314,194
2022Q2,Borders,279,194
2022Q3,Borders,384,197
2017Q3,Borders,618,443
2017Q4,Borders,634,428
2018Q1,Borders,975,498
2018Q2,Borders,1014,509
2018Q3,Borders,942,554
2018Q4,Borders,840,444
2019Q1,Borders,461,405
2019Q2,Borders,825,431
2019Q3,Borders,867,451
2019Q4,Borders,648,441
2020Q1,Borders,619,389
2020Q2,Borders,571,306
2020Q3,Borders,548,350
2020Q4,Borders,588,377
2021Q1,Borders,734,308
2021Q2,Borders,931,437
2021Q3,Borders,588,308
2021Q4,Borders,713,361
2022Q1,Borders,675,325
2022Q2,Borders,541,348
2022Q3,Borders,910,352
2017Q3,Borders,1417,625
2017Q4,Borders,1510,575
2018Q1,Borders,1428,586
2018Q2,Borders,1377,592
2018Q3,Borders,1266,582
2018Q4,Borders,1089,584
2019Q1,Borders,1150,592
2019Q2,Borders,980,573
2019Q3,Borders,1368,606
2019Q4,Borders,1204,599
2020Q1,Borders,1027,540
2020Q2,Borders,781,397
2020Q3,Borders,693,436
2020Q4,Borders,769,404
2021Q1,Borders,905,424
2021Q2,Borders,905,477
2021Q3,Borders,946,496
2021Q4,Borders,1039,482
2022Q1,Borders,940,461
2022Q2,Borders,1611,512
2022Q3,Borders,1339,588
2017Q3,Borders,2325,868
2017Q4,Borders,2836,874
2018Q1,Borders,2684,927
2018Q2,Borders,2973,862
2018Q3,Borders,2693,807
2018Q4,Borders,2419,864
2019Q1,Borders,2328,887
2019Q2,Borders,2040,793
2019Q3,Borders,2044,777
2019Q4,Borders,2044,829
2020Q1,Borders,2137,819
2020Q2,Borders,1620,549
2020Q3,Borders,1720,640
2020Q4,Borders,1844,557
2021Q1,Borders,2285,647
2021Q2,Borders,2192,790
2021Q3,Borders,1922,651
2021Q4,Borders,1973,714
2022Q1,Borders,2107,692
2022Q2,Borders,2374,685
2022Q3,Borders,2379,683
2017Q3,Borders,3251,618
2017Q4,Borders,3289,660
2018Q1,Borders,3612,682
2018Q2,Borders,2830,705
2018Q3,Borders,3455,702
2018Q4,Borders,2958,741
2019Q1,Borders,3774,801
2019Q2,Borders,2816,693
2019Q3,Borders,2995,730
2019Q4,Borders,3312,891
2020Q1,Borders,3446,864
2020Q2,Borders,2010,578
2020Q3,Borders,2225,629
2020Q4,Borders,2680,633
2021Q1,Borders,2953,658
2021Q2,Borders,3552,770
2021Q3,Borders,2981,635
2021Q4,Borders,3309,656
2022Q1,Borders,3146,696
2022Q2,Borders,3824,670
2022Q3,Borders,3139,619
2017Q3,Borders,1147,195
2017Q4,Borders,1956,253
2018Q1,Borders,1989,263
2018Q2,Borders,1293,208
2018Q3,Borders,1745,228
2018Q4,Borders,1284,250
2019Q1,Borders,1124,236
2019Q2,Borders,1655,228
2019Q3,Borders,1320,243
2019Q4,Borders,1609,361
2020Q1,Borders,1186,265
2020Q2,Borders,828,211
2020Q3,Borders,975,208
2020Q4,Borders,1104,204
2021Q1,Borders,1186,195
2021Q2,Borders,1013,213
2021Q3,Borders,1124,217
2021Q4,Borders,1239,223
2022Q1,Borders,1346,222
2022Q2,Borders,1263,152
2022Q3,Borders,1824,235
2017Q3,Borders,15,31
2017Q4,Borders,5,13
2018Q1,Borders,5,10
2018Q2,Borders,12,24
2018Q3,Borders,5,21
2018Q4,Borders,8,14
2019Q1,Borders,5,12
2019Q2,Borders,7,16
2019Q3,Borders,38,25
2019Q4,Borders,5,16
2020Q1,Borders,11,17
2020Q2,Borders,0,5
2020Q3,Borders,10,10
2020Q4,Borders,0,10
2021Q1,Borders,5,5
2021Q2,Borders,6,10
2021Q3,Borders,0,0
2021Q4,Borders,5,5
2022Q1,Borders,13,16
2022Q2,Borders,9,15
2022Q3,Borders,14,16
2017Q3,Borders,48,53
2017Q4,Borders,40,51
2018Q1,Borders,40,39
2018Q2,Borders,50,49
2018Q3,Borders,48,55
2018Q4,Borders,69,50
2019Q1,Borders,80,49
2019Q2,Borders,74,62
2019Q3,Borders,38,53
2019Q4,Borders,34,59
2020Q1,Borders,76,43
2020Q2,Borders,26,16
2020Q3,Borders,37,25
2020Q4,Borders,14,26
2021Q1,Borders,74,24
2021Q2,Borders,23,31
2021Q3,Borders,46,30
2021Q4,Borders,28,18
2022Q1,Borders,12,21
2022Q2,Borders,31,34
2022Q3,Borders,13,24
2017Q3,Borders,121,103
2017Q4,Borders,292,108
2018Q1,Borders,133,75
2018Q2,Borders,137,79
2018Q3,Borders,103,101
2018Q4,Borders,343,77
2019Q1,Borders,124,97
2019Q2,Borders,101,98
2019Q3,Borders,125,106
2019Q4,Borders,102,98
2020Q1,Borders,118,104
2020Q2,Borders,43,50
2020Q3,Borders,93,69
2020Q4,Borders,86,72
2021Q1,Borders,117,62
2021Q2,Borders,115,69
2021Q3,Borders,102,73
2021Q4,Borders,190,67
2022Q1,Borders,41,31
2022Q2,Borders,62,44
2022Q3,Borders,116,64
2017Q3,Borders,286,167
2017Q4,Borders,129,131
2018Q1,Borders,148,103
2018Q2,Borders,182,136
2018Q3,Borders,197,128
2018Q4,Borders,233,136
2019Q1,Borders,225,156
2019Q2,Borders,236,159
2019Q3,Borders,221,116
2019Q4,Borders,183,128
2020Q1,Borders,219,125
2020Q2,Borders,92,76
2020Q3,Borders,131,91
2020Q4,Borders,115,72
2021Q1,Borders,287,82
2021Q2,Borders,181,96
2021Q3,Borders,155,72
2021Q4,Borders,192,72
2022Q1,Borders,90,54
2022Q2,Borders,114,65
2022Q3,Borders,178,66
2017Q3,Borders,389,181
2017Q4,Borders,249,160
2018Q1,Borders,181,142
2018Q2,Borders,298,211
2018Q3,Borders,400,230
2018Q4,Borders,528,193
2019Q1,Borders,295,213
2019Q2,Borders,361,222
2019Q3,Borders,501,186
2019Q4,Borders,234,135
2020Q1,Borders,365,142
2020Q2,Borders,288,152
2020Q3,Borders,286,132
2020Q4,Borders,291,146
2021Q1,Borders,302,127
2021Q2,Borders,442,163
2021Q3,Borders,308,112
2021Q4,Borders,314,115
2022Q1,Borders,262,126
2022Q2,Borders,270,125
2022Q3,Borders,313,126
2017Q3,Borders,677,407
2017Q4,Borders,577,372
2018Q1,Borders,600,359
2018Q2,Borders,1210,337
2018Q3,Borders,1025,367
2018Q4,Borders,898,392
2019Q1,Borders,826,398
2019Q2,Borders,707,403
2019Q3,Borders,878,407
2019Q4,Borders,723,383
2020Q1,Borders,962,398
2020Q2,Borders,486,223
2020Q3,Borders,596,290
2020Q4,Borders,481,279
2021Q1,Borders,784,295
2021Q2,Borders,1070,334
2021Q3,Borders,1010,332
2021Q4,Borders,953,323
2022Q1,Borders,794,262
2022Q2,Borders,739,303
2022Q3,Borders,767,305
2017Q3,Borders,1197,647
2017Q4,Borders,1862,654
2018Q1,Borders,1264,625
2018Q2,Borders,1449,588
2018Q3,Borders,1417,557
2018Q4,Borders,1377,568
2019Q1,Borders,1550,573
2019Q2,Borders,1229,485
2019Q3,Borders,1131,484
2019Q4,Borders,1017,543
2020Q1,Borders,1588,553
2020Q2,Borders,757,429
2020Q3,Borders,945,387
2020Q4,Borders,1115,380
2021Q1,Borders,1176,421
2021Q2,Borders,1445,537
2021Q3,Borders,1546,481
2021Q4,Borders,1366,427
2022Q1,Borders,1319,442
2022Q2,Borders,1360,461
2022Q3,Borders,1139,480
2017Q3,Borders,1975,858
2017Q4,Borders,2564,903
2018Q1,Borders,2166,863
2018Q2,Borders,3327,927
2018Q3,Borders,2500,956
2018Q4,Borders,2329,876
2019Q1,Borders,2339,853
2019Q2,Borders,2570,796
2019Q3,Borders,2908,883
2019Q4,Borders,2590,951
2020Q1,Borders,2461,844
2020Q2,Borders,1368,532
2020Q3,Borders,2007,689
2020Q4,Borders,1983,605
2021Q1,Borders,2452,731
2021Q2,Borders,2388,898
2021Q3,Borders,2590,725
2021Q4,Borders,2379,716
2022Q1,Borders,2338,666
2022Q2,Borders,2320,647
2022Q3,Borders,3928,675
2017Q3,Borders,2986,567
2017Q4,Borders,2243,569
2018Q1,Borders,3178,586
2018Q2,Borders,2628,540
2018Q3,Borders,3352,634
2018Q4,Borders,2425,579
2019Q1,Borders,2334,664
2019Q2,Borders,2555,610
2019Q3,Borders,2630,580
2019Q4,Borders,1939,672
2020Q1,Borders,2323,672
2020Q2,Borders,1808,514
2020Q3,Borders,1850,480
2020Q4,Borders,2312,523
2021Q1,Borders,2613,516
2021Q2,Borders,2332,595
2021Q3,Borders,2635,566
2021Q4,Borders,2588,596
2022Q1,Borders,3464,688
2022Q2,Borders,3724,604
2022Q3,Borders,2661,490
2017Q3,Borders,731,115
2017Q4,Borders,718,154
2018Q1,Borders,942,171
2018Q2,Borders,1033,169
2018Q3,Borders,1370,167
2018Q4,Borders,770,170
2019Q1,Borders,718,152
2019Q2,Borders,809,152
2019Q3,Borders,600,126
2019Q4,Borders,721,167
2020Q1,Borders,611,149
2020Q2,Borders,318,115
2020Q3,Borders,473,130
2020Q4,Borders,843,159
2021Q1,Borders,936,175
2021Q2,Borders,945,165
2021Q3,Borders,892,174
2021Q4,Borders,1278,181
2022Q1,Borders,1043,153
2022Q2,Borders,845,156
2022Q3,Borders,1037,130
2017Q3,Borders,16,25
2017Q4,Borders,0,12
2018Q1,Borders,5,5
2018Q2,Borders,5,22
2018Q3,Borders,5,19
2018Q4,Borders,5,15
2019Q1,Borders,0,10
2019Q2,Borders,5,16
2019Q3,Borders,8,16
2019Q4,Borders,0,10
2020Q1,Borders,0,10
2020Q2,Borders,5,0
2020Q3,Borders,7,5
2020Q4,Borders,0,10
2021Q1,Borders,5,5
2021Q2,Borders,5,5
2021Q3,Borders,0,5
2021Q4,Borders,0,0
2022Q1,Borders,0,0
2022Q2,Borders,10,14
2022Q3,Borders,8,11
2017Q3,Borders,71,76
2017Q4,Borders,73,54
2018Q1,Borders,78,45
2018Q2,Borders,36,49
2018Q3,Borders,103,56
2018Q4,Borders,54,51
2019Q1,Borders,22,35
2019Q2,Borders,59,50
2019Q3,Borders,54,46
2019Q4,Borders,32,41
2020Q1,Borders,51,37
2020Q2,Borders,20,16
2020Q3,Borders,74,42
2020Q4,Borders,27,28
2021Q1,Borders,196,33
2021Q2,Borders,49,39
2021Q3,Borders,14,15
2021Q4,Borders,44,24
2022Q1,Borders,31,29
2022Q2,Borders,26,11
2022Q3,Borders,25,24
2017Q3,Borders,181,118
2017Q4,Borders,131,113
2018Q1,Borders,153,99
2018Q2,Borders,335,142
2018Q3,Borders,189,120
2018Q4,Borders,118,95
2019Q1,Borders,126,113
2019Q2,Borders,186,110
2019Q3,Borders,139,88
2019Q4,Borders,109,80
2020Q1,Borders,135,101
2020Q2,Borders,80,59
2020Q3,Borders,128,71
2020Q4,Borders,81,61
2021Q1,Borders,146,70
2021Q2,Borders,87,59
2021Q3,Borders,80,35
2021Q4,Borders,77,47
2022Q1,Borders,61,39
2022Q2,Borders,66,63
2022Q3,Borders,111,59
2017Q3,Borders,140,130
2017Q4,Borders,248,161
2018Q1,Borders,146,128
2018Q2,Borders,205,141
2018Q3,Borders,193,159
2018Q4,Borders,151,117
2019Q1,Borders,262,143
2019Q2,Borders,171,146
2019Q3,Borders,191,130
2019Q4,Borders,169,122
2020Q1,Borders,188,145
2020Q2,Borders,114,88
2020Q3,Borders,136,95
2020Q4,Borders,253,91
2021Q1,Borders,192,116
2021Q2,Borders,200,119
2021Q3,Borders,225,123
2021Q4,Borders,82,71
2022Q1,Borders,104,92
2022Q2,Borders,58,79
2022Q3,Borders,96,122
2017Q3,Borders,407,230
2017Q4,Borders,322,223
2018Q1,Borders,430,208
2018Q2,Borders,370,190
2018Q3,Borders,332,238
2018Q4,Borders,466,230
2019Q1,Borders,335,202
2019Q2,Borders,370,220
2019Q3,Borders,331,210
2019Q4,Borders,458,162
2020Q1,Borders,274,152
2020Q2,Borders,241,138
2020Q3,Borders,260,167
2020Q4,Borders,267,122
2021Q1,Borders,334,142
2021Q2,Borders,391,205
2021Q3,Borders,208,131
2021Q4,Borders,293,171
2022Q1,Borders,314,194
2022Q2,Borders,279,194
2022Q3,Borders,384,197
2017Q3,Borders,618,443
2017Q4,Borders,634,428
2018Q1,Borders,975,498
2018Q2,Borders,1014,509
2018Q3,Borders,942,554
2018Q4,Borders,840,444
2019Q1,Borders,461,405
2019Q2,Borders,825,431
2019Q3,Borders,867,451
2019Q4,Borders,648,441
2020Q1,Borders,619,389
2020Q2,Borders,571,306
2020Q3,Borders,548,350
2020Q4,Borders,588,377
2021Q1,Borders,734,308
2021Q2,Borders,931,437
2021Q3,Borders,588,308
2021Q4,Borders,713,361
2022Q1,Borders,675,325
2022Q2,Borders,541,348
2022Q3,Borders,910,352
2017Q3,Borders,1417,625
2017Q4,Borders,1510,575
2018Q1,Borders,1428,586
2018Q2,Borders,1377,592
2018Q3,Borders,1266,582
2018Q4,Borders,1089,584
2019Q1,Borders,1150,592
2019Q2,Borders,980,573
2019Q3,Borders,1368,606
2019Q4,Borders,1204,599
2020Q1,Borders,1027,540
2020Q2,Borders,781,397
2020Q3,Borders,693,436
2020Q4,Borders,769,404
2021Q1,Borders,905,424
2021Q2,Borders,905,477
2021Q3,Borders,946,496
2021Q4,Borders,1039,482
2022Q1,Borders,940,461
2022Q2,Borders,1611,512
2022Q3,Borders,1339,588
2017Q3,Borders,2325,868
2017Q4,Borders,2836,874
2018Q1,Borders,2684,927
2018Q2,Borders,2973,862
2018Q3,Borders,2693,807
2018Q4,Borders,2419,864
2019Q1,Borders,2328,887
2019Q2,Borders,2040,793
2019Q3,Borders,2044,777
2019Q4,Borders,2044,829
2020Q1,Borders,2137,819
2020Q2,Borders,1620,549
2020Q3,Borders,1720,640
2020Q4,Borders,1844,557
2021Q1,Borders,2285,647
2021Q2,Borders,2192,790
2021Q3,Borders,1922,651
2021Q4,Borders,1973,714
2022Q1,Borders,2107,692
2022Q2,Borders,2374,685
2022Q3,Borders,2379,683
2017Q3,Borders,3251,618
2017Q4,Borders,3289,660
2018Q1,Borders,3612,682
2018Q2,Borders,2830,705
2018Q3,Borders,3455,702
2018Q4,Borders,2958,741
2019Q1,Borders,3774,801
2019Q2,Borders,2816,693
2019Q3,Borders,2995,730
2019Q4,Borders,3312,891
2020Q1,Borders,3446,864
2020Q2,Borders,2010,578
2020Q3,Borders,2225,629
2020Q4,Borders,2680,633
2021Q1,Borders,2953,658
2021Q2,Borders,3552,770
2021Q3,Borders,2981,635
2021Q4,Borders,3309,656
2022Q1,Borders,3146,696
2022Q2,Borders,3824,670
2022Q3,Borders,3139,619
2017Q3,Borders,1147,195
2017Q4,Borders,1956,253
2018Q1,Borders,1989,263
2018Q2,Borders,1293,208
2018Q3,Borders,1745,228
2018Q4,Borders,1284,250
2019Q1,Borders,1124,236
2019Q2,Borders,1655,228
2019Q3,Borders,1320,243
2019Q4,Borders,1609,361
2020Q1,Borders,1186,265
2020Q2,Borders,828,211
2020Q3,Borders,975,208
2020Q4,Borders,1104,204
2021Q1,Borders,1186,195
2021Q2,Borders,1013,213
2021Q3,Borders,1124,217
2021Q4,Borders,1239,223
2022Q1,Borders,1346,222
2022Q2,Borders,1263,152
2022Q3,Borders,1824,235
2017Q3,Borders,15,31
2017Q4,Borders,5,13
2018Q1,Borders,5,10
2018Q2,Borders,12,24
2018Q3,Borders,5,21
2018Q4,Borders,8,14
2019Q1,Borders,5,12
2019Q2,Borders,7,16
2019Q3,Borders,38,25
2019Q4,Borders,5,16
2020Q1,Borders,11,17
2020Q2,Borders,0,5
2020Q3,Borders,10,10
2020Q4,Borders,0,10
2021Q1,Borders,5,5
2021Q2,Borders,6,10
2021Q3,Borders,0,0
2021Q4,Borders,5,5
2022Q1,Borders,13,16
2022Q2,Borders,9,15
2022Q3,Borders,14,16
2017Q3,Borders,48,53
2017Q4,Borders,40,51
2018Q1,Borders,40,39
2018Q2,Borders,50,49
2018Q3,Borders,48,55
2018Q4,Borders,69,50
2019Q1,Borders,80,49
2019Q2,Borders,74,62
2019Q3,Borders,38,53
2019Q4,Borders,34,59
2020Q1,Borders,76,43
2020Q2,Borders,26,16
2020Q3,Borders,37,25
2020Q4,Borders,14,26
2021Q1,Borders,74,24
2021Q2,Borders,23,31
2021Q3,Borders,46,30
2021Q4,Borders,28,18
2022Q1,Borders,12,21
2022Q2,Borders,31,34
2022Q3,Borders,13,24
2017Q3,Borders,121,103
2017Q4,Borders,292,108
2018Q1,Borders,133,75
2018Q2,Borders,137,79
2018Q3,Borders,103,101
2018Q4,Borders,343,77
2019Q1,Borders,124,97
2019Q2,Borders,101,98
2019Q3,Borders,125,106
2019Q4,Borders,102,98
2020Q1,Borders,118,104
2020Q2,Borders,43,50
2020Q3,Borders,93,69
2020Q4,Borders,86,72
2021Q1,Borders,117,62
2021Q2,Borders,115,69
2021Q3,Borders,102,73
2021Q4,Borders,190,67
2022Q1,Borders,41,31
2022Q2,Borders,62,44
2022Q3,Borders,116,64
2017Q3,Borders,286,167
2017Q4,Borders,129,131
2018Q1,Borders,148,103
2018Q2,Borders,182,136
2018Q3,Borders,197,128
2018Q4,Borders,233,136
2019Q1,Borders,225,156
2019Q2,Borders,236,159
2019Q3,Borders,221,116
2019Q4,Borders,183,128
2020Q1,Borders,219,125
2020Q2,Borders,92,76
2020Q3,Borders,131,91
2020Q4,Borders,115,72
2021Q1,Borders,287,82
2021Q2,Borders,181,96
