quarter,hb,specialty_name_top,episodes,length_of_spell
2020Q4,Greater Glasgow and Clyde,Other,475,1087
2021Q1,Greater Glasgow and Clyde,Other,304,903
2021Q2,Greater Glasgow and Clyde,Other,413,1360
2021Q3,Greater Glasgow and Clyde,Other,306,1438
2021Q4,Greater Glasgow and Clyde,Other,295,1495
2022Q1,Greater Glasgow and Clyde,Other,276,894
2022Q2,Greater Glasgow and Clyde,Other,437,1431
2022Q3,Greater Glasgow and Clyde,Other,511,1498
2017Q3,Greater Glasgow and Clyde,Urology,225,987
2017Q4,Greater Glasgow and Clyde,Urology,181,899
2018Q1,Greater Glasgow and Clyde,Urology,198,972
2018Q2,Greater Glasgow and Clyde,Urology,208,887
2018Q3,Greater Glasgow and Clyde,Urology,198,955
2018Q4,Greater Glasgow and Clyde,Urology,202,933
2019Q1,Greater Glasgow and Clyde,Urology,205,929
2019Q2,Greater Glasgow and Clyde,Urology,260,1142
2019Q3,Greater Glasgow and Clyde,Urology,229,951
2019Q4,Greater Glasgow and Clyde,Urology,163,958
2020Q1,Greater Glasgow and Clyde,Urology,191,1098
2020Q2,Greater Glasgow and Clyde,Urology,242,667
2020Q3,Greater Glasgow and Clyde,Urology,265,719
2020Q4,Greater Glasgow and Clyde,Urology,216,895
2021Q1,Greater Glasgow and Clyde,Urology,193,649
2021Q2,Greater Glasgow and Clyde,Urology,214,764
2021Q3,Greater Glasgow and Clyde,Urology,202,698
2021Q4,Greater Glasgow and Clyde,Urology,246,964
2022Q1,Greater Glasgow and Clyde,Urology,212,1049
2022Q2,Greater Glasgow and Clyde,Urology,263,992
2022Q3,Greater Glasgow and Clyde,Urology,303,1430
2018Q3,Greater Glasgow and Clyde,Other,15,457
2018Q4,Greater Glasgow and Clyde,Other,35,833
2019Q1,Greater Glasgow and Clyde,Other,25,893
2019Q2,Greater Glasgow and Clyde,Other,10,973
2019Q3,Greater Glasgow and Clyde,Other,10,890
2019Q4,Greater Glasgow and Clyde,Other,15,810
2020Q1,Greater Glasgow and Clyde,Other,15,1108
2020Q2,Greater Glasgow and Clyde,Other,10,1020
2020Q3,Greater Glasgow and Clyde,Other,11,781
2020Q4,Greater Glasgow and Clyde,Other,14,1044
2021Q1,Greater Glasgow and Clyde,Other,5,1463
2021Q2,Greater Glasgow and Clyde,Other,5,1049
2021Q3,Greater Glasgow and Clyde,Other,20,796
2021Q4,Greater Glasgow and Clyde,Other,15,1106
2022Q1,Greater Glasgow and Clyde,Other,13,845
2022Q2,Greater Glasgow and Clyde,Other,13,901
2022Q3,Greater Glasgow and Clyde,Other,10,781
2018Q3,Greater Glasgow and Clyde,Other,0,0
2019Q2,Greater Glasgow and Clyde,Other,0,0
2019Q3,Greater Glasgow and Clyde,Other,0,0
2021Q1,Greater Glasgow and Clyde,Other,0,6
2021Q4,Greater Glasgow and Clyde,Other,0,7
2022Q1,Greater Glasgow and Clyde,Other,0,5
2022Q2,Greater Glasgow and Clyde,Other,0,5
2019Q1,Greater Glasgow and Clyde,Haematology,0,0
2020Q2,Greater Glasgow and Clyde,Haematology,0,0
2020Q3,Greater Glasgow and Clyde,Haematology,5,0
2020Q4,Greater Glasgow and Clyde,Haematology,5,0
2021Q1,Greater Glasgow and Clyde,Haematology,0,0
2021Q2,Greater Glasgow and Clyde,Haematology,5,5
2022Q1,Greater Glasgow and Clyde,Haematology,5,7
2022Q2,Greater Glasgow and Clyde,Haematology,0,0
2017Q3,Greater Glasgow and Clyde,General Medicine,2005,8910
2017Q4,Greater Glasgow and Clyde,General Medicine,2133,9430
2018Q1,Greater Glasgow and Clyde,General Medicine,2081,11013
2018Q2,Greater Glasgow and Clyde,General Medicine,1826,8958
2018Q3,Greater Glasgow and Clyde,General Medicine,1831,9179
2018Q4,Greater Glasgow and Clyde,General Medicine,1959,10427
2019Q1,Greater Glasgow and Clyde,General Medicine,1971,10197
2019Q2,Greater Glasgow and Clyde,General Medicine,1970,10858
2019Q3,Greater Glasgow and Clyde,General Medicine,2008,9459
2019Q4,Greater Glasgow and Clyde,General Medicine,2068,11406
2020Q1,Greater Glasgow and Clyde,General Medicine,1847,11402
2020Q2,Greater Glasgow and Clyde,General Medicine,1319,7287
2020Q3,Greater Glasgow and Clyde,General Medicine,1565,7557
2020Q4,Greater Glasgow and Clyde,General Medicine,1598,9371
2021Q1,Greater Glasgow and Clyde,General Medicine,1540,10719
2021Q2,Greater Glasgow and Clyde,General Medicine,1838,11266
2021Q3,Greater Glasgow and Clyde,General Medicine,1675,11353
2021Q4,Greater Glasgow and Clyde,General Medicine,1596,12656
2022Q1,Greater Glasgow and Clyde,General Medicine,1499,11878
2022Q2,Greater Glasgow and Clyde,General Medicine,1419,12173
2022Q3,Greater Glasgow and Clyde,General Medicine,1387,11756
2017Q3,Greater Glasgow and Clyde,Cardiology,20,368
2017Q4,Greater Glasgow and Clyde,Cardiology,20,444
2018Q1,Greater Glasgow and Clyde,Cardiology,22,401
2018Q2,Greater Glasgow and Clyde,Cardiology,20,264
2018Q3,Greater Glasgow and Clyde,Cardiology,10,215
2018Q4,Greater Glasgow and Clyde,Cardiology,5,202
2019Q1,Greater Glasgow and Clyde,Cardiology,10,301
2019Q2,Greater Glasgow and Clyde,Cardiology,10,256
2019Q3,Greater Glasgow and Clyde,Cardiology,10,236
2019Q4,Greater Glasgow and Clyde,Cardiology,10,445
2020Q1,Greater Glasgow and Clyde,Cardiology,10,449
2020Q2,Greater Glasgow and Clyde,Cardiology,0,70
2020Q3,Greater Glasgow and Clyde,Cardiology,13,251
2020Q4,Greater Glasgow and Clyde,Cardiology,5,446
2021Q1,Greater Glasgow and Clyde,Cardiology,10,278
2021Q2,Greater Glasgow and Clyde,Cardiology,16,487
2021Q3,Greater Glasgow and Clyde,Cardiology,15,530
2021Q4,Greater Glasgow and Clyde,Cardiology,10,474
2022Q1,Greater Glasgow and Clyde,Cardiology,5,515
2022Q2,Greater Glasgow and Clyde,Cardiology,10,501
2022Q3,Greater Glasgow and Clyde,Cardiology,5,352
2018Q3,Greater Glasgow and Clyde,Other,0,0
2019Q2,Greater Glasgow and Clyde,Other,0,0
2021Q1,Greater Glasgow and Clyde,Other,0,8
2021Q2,Greater Glasgow and Clyde,Other,0,46
2022Q1,Greater Glasgow and Clyde,Other,0,21
2019Q3,Greater Glasgow and Clyde,Gastroenterology,0,10
2019Q4,Greater Glasgow and Clyde,Gastroenterology,0,6
2020Q1,Greater Glasgow and Clyde,Gastroenterology,0,8
2020Q2,Greater Glasgow and Clyde,Gastroenterology,0,6
2020Q3,Greater Glasgow and Clyde,Gastroenterology,0,13
2020Q4,Greater Glasgow and Clyde,Gastroenterology,5,97
2021Q1,Greater Glasgow and Clyde,Gastroenterology,0,27
2022Q3,Greater Glasgow and Clyde,Gastroenterology,0,97
2017Q3,Greater Glasgow and Clyde,Geriatric Medicine,34,5103
2017Q4,Greater Glasgow and Clyde,Geriatric Medicine,27,5708
2018Q1,Greater Glasgow and Clyde,Geriatric Medicine,46,5037
2018Q2,Greater Glasgow and Clyde,Geriatric Medicine,68,5548
2018Q3,Greater Glasgow and Clyde,Geriatric Medicine,54,4893
2018Q4,Greater Glasgow and Clyde,Geriatric Medicine,50,5237
2019Q1,Greater Glasgow and Clyde,Geriatric Medicine,64,6425
2019Q2,Greater Glasgow and Clyde,Geriatric Medicine,44,6714
2019Q3,Greater Glasgow and Clyde,Geriatric Medicine,40,6452
2019Q4,Greater Glasgow and Clyde,Geriatric Medicine,5,6015
2020Q1,Greater Glasgow and Clyde,Geriatric Medicine,15,6898
2020Q2,Greater Glasgow and Clyde,Geriatric Medicine,5,4823
2020Q3,Greater Glasgow and Clyde,Geriatric Medicine,5,5574
2020Q4,Greater Glasgow and Clyde,Geriatric Medicine,10,4564
2021Q1,Greater Glasgow and Clyde,Geriatric Medicine,10,3017
2021Q2,Greater Glasgow and Clyde,Geriatric Medicine,10,5067
2021Q3,Greater Glasgow and Clyde,Geriatric Medicine,14,4097
2021Q4,Greater Glasgow and Clyde,Geriatric Medicine,5,3621
2022Q1,Greater Glasgow and Clyde,Geriatric Medicine,37,4337
2022Q2,Greater Glasgow and Clyde,Geriatric Medicine,29,4750
2022Q3,Greater Glasgow and Clyde,Geriatric Medicine,25,6278
2019Q1,Greater Glasgow and Clyde,Other,0,0
2018Q3,Greater Glasgow and Clyde,Other,5,13
2018Q4,Greater Glasgow and Clyde,Other,0,0
2019Q1,Greater Glasgow and Clyde,Other,0,0
2019Q2,Greater Glasgow and Clyde,Other,0,5
2019Q3,Greater Glasgow and Clyde,Other,0,16
2019Q4,Greater Glasgow and Clyde,Other,0,0
2020Q1,Greater Glasgow and Clyde,Other,0,0
2020Q3,Greater Glasgow and Clyde,Other,0,0
2020Q4,Greater Glasgow and Clyde,Other,0,0
2021Q2,Greater Glasgow and Clyde,Other,0,12
2021Q3,Greater Glasgow and Clyde,Other,0,0
2022Q1,Greater Glasgow and Clyde,Other,0,0
2022Q2,Greater Glasgow and Clyde,Other,0,0
2017Q3,Greater Glasgow and Clyde,Other,5,132
2017Q4,Greater Glasgow and Clyde,Other,26,151
2018Q1,Greater Glasgow and Clyde,Other,22,240
2018Q2,Greater Glasgow and Clyde,Other,10,232
2018Q3,Greater Glasgow and Clyde,Other,14,291
2018Q4,Greater Glasgow and Clyde,Other,10,150
2019Q1,Greater Glasgow and Clyde,Other,10,321
2019Q2,Greater Glasgow and Clyde,Other,20,164
2019Q3,Greater Glasgow and Clyde,Other,13,194
2019Q4,Greater Glasgow and Clyde,Other,0,272
2020Q1,Greater Glasgow and Clyde,Other,5,265
2020Q2,Greater Glasgow and Clyde,Other,5,161
2020Q4,Greater Glasgow and Clyde,Other,0,102
2021Q1,Greater Glasgow and Clyde,Other,5,475
2021Q2,Greater Glasgow and Clyde,Other,0,231
2021Q3,Greater Glasgow and Clyde,Other,0,54
2021Q4,Greater Glasgow and Clyde,Other,0,172
2022Q1,Greater Glasgow and Clyde,Other,0,77
2022Q2,Greater Glasgow and Clyde,Other,0,67
2022Q3,Greater Glasgow and Clyde,Other,0,188
2018Q1,Greater Glasgow and Clyde,Other,0,16
2020Q3,Greater Glasgow and Clyde,Other,15,153
2020Q4,Greater Glasgow and Clyde,Other,0,131
2021Q1,Greater Glasgow and Clyde,Other,0,259
2021Q2,Greater Glasgow and Clyde,Other,0,123
2022Q1,Greater Glasgow and Clyde,Other,5,120
2022Q3,Greater Glasgow and Clyde,Other,26,329
2019Q4,Greater Glasgow and Clyde,Other,0,5
2020Q3,Greater Glasgow and Clyde,Other,0,13
2017Q3,Greater Glasgow and Clyde,General Surgery,523,3108
2017Q4,Greater Glasgow and Clyde,General Surgery,536,3489
2018Q1,Greater Glasgow and Clyde,General Surgery,483,2949
2018Q2,Greater Glasgow and Clyde,General Surgery,507,2853
2018Q3,Greater Glasgow and Clyde,General Surgery,504,3087
2018Q4,Greater Glasgow and Clyde,General Surgery,476,2498
2019Q1,Greater Glasgow and Clyde,General Surgery,499,2799
2019Q2,Greater Glasgow and Clyde,General Surgery,444,2538
2019Q3,Greater Glasgow and Clyde,General Surgery,557,3249
2019Q4,Greater Glasgow and Clyde,General Surgery,491,2878
2020Q1,Greater Glasgow and Clyde,General Surgery,458,2679
2020Q2,Greater Glasgow and Clyde,General Surgery,402,1857
2020Q3,Greater Glasgow and Clyde,General Surgery,507,2628
2020Q4,Greater Glasgow and Clyde,General Surgery,405,1967
2021Q1,Greater Glasgow and Clyde,General Surgery,414,2187
2021Q2,Greater Glasgow and Clyde,General Surgery,483,2313
2021Q3,Greater Glasgow and Clyde,General Surgery,469,2209
2021Q4,Greater Glasgow and Clyde,General Surgery,496,3005
2022Q1,Greater Glasgow and Clyde,General Surgery,475,2092
2022Q2,Greater Glasgow and Clyde,General Surgery,435,2817
2022Q3,Greater Glasgow and Clyde,General Surgery,426,2240
2018Q2,Greater Glasgow and Clyde,Other,0,0
2018Q3,Greater Glasgow and Clyde,Other,0,5
2019Q4,Greater Glasgow and Clyde,Other,0,0
2020Q3,Greater Glasgow and Clyde,Other,0,0
2021Q1,Greater Glasgow and Clyde,Other,0,0
2021Q2,Greater Glasgow and Clyde,Other,0,0
2022Q1,Greater Glasgow and Clyde,Other,0,0
2019Q1,Greater Glasgow and Clyde,Other,0,0
2022Q2,Greater Glasgow and Clyde,Other,0,5
2020Q2,Greater Glasgow and Clyde,Other,0,5
2021Q1,Greater Glasgow and Clyde,Other,0,5
2022Q2,Greater Glasgow and Clyde,Other,0,25
2017Q4,Greater Glasgow and Clyde,Other,0,5
2018Q1,Greater Glasgow and Clyde,Other,0,0
2018Q4,Greater Glasgow and Clyde,Other,0,0
2019Q2,Greater Glasgow and Clyde,Other,5,0
2019Q4,Greater Glasgow and Clyde,Other,0,0
2020Q1,Greater Glasgow and Clyde,Other,0,0
2021Q1,Greater Glasgow and Clyde,Other,0,0
2021Q2,Greater Glasgow and Clyde,Other,0,0
2017Q3,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,193,1456
2017Q4,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,226,1553
2018Q1,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,236,1758
2018Q2,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,240,1743
2018Q3,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,232,1554
2018Q4,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,233,2070
2019Q1,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,215,1950
2019Q2,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,240,1770
2019Q3,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,212,1778
2019Q4,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,205,1831
2020Q1,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,212,2155
2020Q2,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,144,1206
2020Q3,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,218,1667
2020Q4,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,199,1678
2021Q1,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,200,1994
2021Q2,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,235,1724
2021Q3,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,200,1772
2021Q4,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,21,553
2022Q1,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,25,1624
2022Q2,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,41,1775
2022Q3,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,20,1416
2019Q1,Greater Glasgow and Clyde,Urology,0,0
2020Q1,Greater Glasgow and Clyde,Urology,0,0
2020Q3,Greater Glasgow and Clyde,Urology,0,0
2020Q4,Greater Glasgow and Clyde,Urology,0,5
2021Q3,Greater Glasgow and Clyde,Urology,0,5
2021Q4,Greater Glasgow and Clyde,Urology,0,33
2022Q1,Greater Glasgow and Clyde,Urology,0,5
2022Q2,Greater Glasgow and Clyde,Urology,0,15
2019Q1,Greater Glasgow and Clyde,Other,0,5
2019Q2,Greater Glasgow and Clyde,Other,0,8
2018Q4,Greater Glasgow and Clyde,Other,0,5
2019Q1,Greater Glasgow and Clyde,Other,0,8
2019Q2,Greater Glasgow and Clyde,Other,0,5
2021Q3,Greater Glasgow and Clyde,Other,0,5
2018Q1,Greater Glasgow and Clyde,Haematology,0,6
2018Q2,Greater Glasgow and Clyde,Haematology,0,0
2018Q4,Greater Glasgow and Clyde,Haematology,0,0
2020Q3,Greater Glasgow and Clyde,Haematology,0,5
2021Q4,Greater Glasgow and Clyde,Haematology,0,0
2018Q1,Greater Glasgow and Clyde,General Medicine,0,22
2019Q1,Greater Glasgow and Clyde,General Medicine,0,0
2019Q3,Greater Glasgow and Clyde,General Medicine,0,0
2020Q1,Greater Glasgow and Clyde,General Medicine,0,14
2020Q2,Greater Glasgow and Clyde,General Medicine,5,0
2020Q3,Greater Glasgow and Clyde,General Medicine,5,0
2020Q4,Greater Glasgow and Clyde,General Medicine,14,5
2021Q1,Greater Glasgow and Clyde,General Medicine,10,10
2021Q2,Greater Glasgow and Clyde,General Medicine,34,0
2021Q3,Greater Glasgow and Clyde,General Medicine,25,0
2021Q4,Greater Glasgow and Clyde,General Medicine,25,0
2022Q1,Greater Glasgow and Clyde,General Medicine,5,15
2022Q3,Greater Glasgow and Clyde,General Medicine,10,0
2017Q3,Greater Glasgow and Clyde,Geriatric Medicine,0,4252
2018Q2,Greater Glasgow and Clyde,Geriatric Medicine,0,4074
2018Q3,Greater Glasgow and Clyde,Geriatric Medicine,0,4613
2018Q4,Greater Glasgow and Clyde,Geriatric Medicine,0,4127
2019Q1,Greater Glasgow and Clyde,Geriatric Medicine,0,4260
2019Q4,Greater Glasgow and Clyde,Geriatric Medicine,0,5257
2020Q2,Greater Glasgow and Clyde,Geriatric Medicine,0,3745
2021Q4,Greater Glasgow and Clyde,Geriatric Medicine,0,5696
2022Q2,Greater Glasgow and Clyde,Geriatric Medicine,0,5105
2021Q2,Greater Glasgow and Clyde,Other,0,0
2021Q3,Greater Glasgow and Clyde,Other,0,0
2018Q4,Greater Glasgow and Clyde,Other,0,0
2018Q2,Greater Glasgow and Clyde,Other,0,0
2018Q3,Greater Glasgow and Clyde,Trauma and Orthopaedic Surgery,0,0
2020Q3,Greater Glasgow and Clyde,Other,5,0
2020Q4,Greater Glasgow and Clyde,Other,0,0
2021Q1,Greater Glasgow and Clyde,Other,10,0
2021Q2,Greater Glasgow and Clyde,Other,25,0
2021Q3,Greater Glasgow and Clyde,Other,20,0
2021Q4,Greater Glasgow and Clyde,Other,5,0
2022Q3,Greater Glasgow and Clyde,Other,5,0
2017Q3,Greater Glasgow and Clyde,Haematology,0,0
2017Q4,Greater Glasgow and Clyde,Haematology,0,0
2018Q1,Greater Glasgow and Clyde,Haematology,0,0
2018Q2,Greater Glasgow and Clyde,Haematology,0,0
2018Q3,Greater Glasgow and Clyde,Haematology,0,0
2018Q4,Greater Glasgow and Clyde,Haematology,0,0
2019Q1,Greater Glasgow and Clyde,Haematology,5,0
2019Q3,Greater Glasgow and Clyde,Haematology,0,0
2019Q4,Greater Glasgow and Clyde,Haematology,5,0
2020Q2,Greater Glasgow and Clyde,Haematology,0,0
2020Q3,Greater Glasgow and Clyde,Haematology,5,0
2020Q4,Greater Glasgow and Clyde,Haematology,0,0
2021Q1,Greater Glasgow and Clyde,Haematology,15,0
2021Q2,Greater Glasgow and Clyde,Haematology,35,0
2021Q3,Greater Glasgow and Clyde,Haematology,10,0
2021Q4,Greater Glasgow and Clyde,Haematology,30,0
2022Q1,Greater Glasgow and Clyde,Haematology,5,0
2022Q2,Greater Glasgow and Clyde,Haematology,5,0
2022Q3,Greater Glasgow and Clyde,Haematology,10,0
2017Q3,Greater Glasgow and Clyde,General Medicine,15181,66694
2017Q4,Greater Glasgow and Clyde,General Medicine,15868,71341
2018Q1,Greater Glasgow and Clyde,General Medicine,15643,81669
2018Q2,Greater Glasgow and Clyde,General Medicine,15087,72031
2018Q3,Greater Glasgow and Clyde,General Medicine,15118,68875
2018Q4,Greater Glasgow and Clyde,General Medicine,16002,69866
2019Q1,Greater Glasgow and Clyde,General Medicine,15790,72254
2019Q2,Greater Glasgow and Clyde,General Medicine,16446,71961
2019Q3,Greater Glasgow and Clyde,General Medicine,16403,67743
2019Q4,Greater Glasgow and Clyde,General Medicine,17211,76972
2020Q1,Greater Glasgow and Clyde,General Medicine,15718,76277
2020Q2,Greater Glasgow and Clyde,General Medicine,13960,52751
2020Q3,Greater Glasgow and Clyde,General Medicine,16257,63279
2020Q4,Greater Glasgow and Clyde,General Medicine,15737,75577
2021Q1,Greater Glasgow and Clyde,General Medicine,15670,74324
2021Q2,Greater Glasgow and Clyde,General Medicine,17453,70968
2021Q3,Greater Glasgow and Clyde,General Medicine,16398,74012
2021Q4,Greater Glasgow and Clyde,General Medicine,15445,80289
2022Q1,Greater Glasgow and Clyde,General Medicine,14195,81932
2022Q2,Greater Glasgow and Clyde,General Medicine,14551,84156
2022Q3,Greater Glasgow and Clyde,General Medicine,14295,85021
2017Q3,Greater Glasgow and Clyde,Cardiology,1505,11199
2017Q4,Greater Glasgow and Clyde,Cardiology,1566,11746
2018Q1,Greater Glasgow and Clyde,Cardiology,1524,11155
2018Q2,Greater Glasgow and Clyde,Cardiology,1453,11854
2018Q3,Greater Glasgow and Clyde,Cardiology,1327,10872
2018Q4,Greater Glasgow and Clyde,Cardiology,1443,12316
2019Q1,Greater Glasgow and Clyde,Cardiology,1309,11265
2019Q2,Greater Glasgow and Clyde,Cardiology,1309,12149
2019Q3,Greater Glasgow and Clyde,Cardiology,1412,11958
2019Q4,Greater Glasgow and Clyde,Cardiology,1322,11749
2020Q1,Greater Glasgow and Clyde,Cardiology,1177,12083
2020Q2,Greater Glasgow and Clyde,Cardiology,873,5824
2020Q3,Greater Glasgow and Clyde,Cardiology,1033,9035
2020Q4,Greater Glasgow and Clyde,Cardiology,913,9595
2021Q1,Greater Glasgow and Clyde,Cardiology,1005,9584
2021Q2,Greater Glasgow and Clyde,Cardiology,1145,11554
2021Q3,Greater Glasgow and Clyde,Cardiology,1112,11242
2021Q4,Greater Glasgow and Clyde,Cardiology,1142,11402
2022Q1,Greater Glasgow and Clyde,Cardiology,1217,10866
2022Q2,Greater Glasgow and Clyde,Cardiology,1194,12124
2022Q3,Greater Glasgow and Clyde,Cardiology,1196,11328
2021Q4,Greater Glasgow and Clyde,Other,0,0
2022Q1,Greater Glasgow and Clyde,Other,0,0
2022Q2,Greater Glasgow and Clyde,Other,5,5
2022Q3,Greater Glasgow and Clyde,Other,5,0
2017Q3,Greater Glasgow and Clyde,Other,126,2099
2017Q4,Greater Glasgow and Clyde,Other,111,2117
2018Q1,Greater Glasgow and Clyde,Other,95,2257
2018Q2,Greater Glasgow and Clyde,Other,125,2304
2018Q3,Greater Glasgow and Clyde,Other,170,2189
2018Q4,Greater Glasgow and Clyde,Other,143,2522
2019Q1,Greater Glasgow and Clyde,Other,127,2296
2019Q2,Greater Glasgow and Clyde,Other,126,2480
2019Q3,Greater Glasgow and Clyde,Other,130,2273
2019Q4,Greater Glasgow and Clyde,Other,118,2355
2020Q1,Greater Glasgow and Clyde,Other,117,2533
2020Q2,Greater Glasgow and Clyde,Other,32,1948
2020Q3,Greater Glasgow and Clyde,Other,53,1948
2020Q4,Greater Glasgow and Clyde,Other,43,2948
2021Q1,Greater Glasgow and Clyde,Other,33,2349
2021Q2,Greater Glasgow and Clyde,Other,35,2017
2021Q3,Greater Glasgow and Clyde,Other,45,2447
2021Q4,Greater Glasgow and Clyde,Other,57,2246
2022Q1,Greater Glasgow and Clyde,Other,61,2275
2022Q2,Greater Glasgow and Clyde,Other,79,2078
2022Q3,Greater Glasgow and Clyde,Other,58,2056
2017Q3,Greater Glasgow and Clyde,Other,29,298
2017Q4,Greater Glasgow and Clyde,Other,26,262
2018Q1,Greater Glasgow and Clyde,Other,23,269
2018Q2,Greater Glasgow and Clyde,Other,21,212
2018Q3,Greater Glasgow and Clyde,Other,18,209
2018Q4,Greater Glasgow and Clyde,Other,17,228
2019Q1,Greater Glasgow and Clyde,Other,11,216
2019Q2,Greater Glasgow and Clyde,Other,10,219
2019Q3,Greater Glasgow and Clyde,Other,12,256
2019Q4,Greater Glasgow and Clyde,Other,16,232
2020Q1,Greater Glasgow and Clyde,Other,16,156
2020Q2,Greater Glasgow and Clyde,Other,0,0
2020Q3,Greater Glasgow and Clyde,Other,5,7
2020Q4,Greater Glasgow and Clyde,Other,5,8
2021Q1,Greater Glasgow and Clyde,Other,10,21
2021Q2,Greater Glasgow and Clyde,Other,0,5
2021Q3,Greater Glasgow and Clyde,Other,0,5
2021Q4,Greater Glasgow and Clyde,Other,5,13
2022Q1,Greater Glasgow and Clyde,Other,0,5
2022Q2,Greater Glasgow and Clyde,Other,0,0
2022Q3,Greater Glasgow and Clyde,Other,0,0
2017Q3,Greater Glasgow and Clyde,Other,10,174
2017Q4,Greater Glasgow and Clyde,Other,11,344
2018Q1,Greater Glasgow and Clyde,Other,13,140
2018Q2,Greater Glasgow and Clyde,Other,19,295
2018Q3,Greater Glasgow and Clyde,Other,19,260
2018Q4,Greater Glasgow and Clyde,Other,22,238
2019Q1,Greater Glasgow and Clyde,Other,14,105
2019Q2,Greater Glasgow and Clyde,Other,27,137
2019Q3,Greater Glasgow and Clyde,Other,18,231
2019Q4,Greater Glasgow and Clyde,Other,26,203
2020Q1,Greater Glasgow and Clyde,Other,29,210
2020Q2,Greater Glasgow and Clyde,Other,16,1371
2020Q3,Greater Glasgow and Clyde,Other,41,1546
2020Q4,Greater Glasgow and Clyde,Other,49,961
2021Q1,Greater Glasgow and Clyde,Other,51,773
2021Q2,Greater Glasgow and Clyde,Other,44,976
2021Q3,Greater Glasgow and Clyde,Other,44,903
2021Q4,Greater Glasgow and Clyde,Other,36,1331
2022Q1,Greater Glasgow and Clyde,Other,106,1476
2022Q2,Greater Glasgow and Clyde,Other,60,1678
2022Q3,Greater Glasgow and Clyde,Other,70,984
2017Q3,Greater Glasgow and Clyde,Gastroenterology,862,6110
2017Q4,Greater Glasgow and Clyde,Gastroenterology,866,6441
2018Q1,Greater Glasgow and Clyde,Gastroenterology,795,6658
2018Q2,Greater Glasgow and Clyde,Gastroenterology,930,5665
2018Q3,Greater Glasgow and Clyde,Gastroenterology,992,5526
2018Q4,Greater Glasgow and Clyde,Gastroenterology,811,7061
2019Q1,Greater Glasgow and Clyde,Gastroenterology,1066,8420
2019Q2,Greater Glasgow and Clyde,Gastroenterology,962,9035
2019Q3,Greater Glasgow and Clyde,Gastroenterology,948,9816
2019Q4,Greater Glasgow and Clyde,Gastroenterology,910,9580
2020Q1,Greater Glasgow and Clyde,Gastroenterology,667,9252
2020Q2,Greater Glasgow and Clyde,Gastroenterology,496,7081
2020Q3,Greater Glasgow and Clyde,Gastroenterology,603,8614
2020Q4,Greater Glasgow and Clyde,Gastroenterology,561,10237
2021Q1,Greater Glasgow and Clyde,Gastroenterology,494,10806
2021Q2,Greater Glasgow and Clyde,Gastroenterology,614,9225
2021Q3,Greater Glasgow and Clyde,Gastroenterology,436,11061
2021Q4,Greater Glasgow and Clyde,Gastroenterology,349,9538
2022Q1,Greater Glasgow and Clyde,Gastroenterology,350,8929
2022Q2,Greater Glasgow and Clyde,Gastroenterology,353,8168
2022Q3,Greater Glasgow and Clyde,Gastroenterology,357,8049
2017Q3,Greater Glasgow and Clyde,Geriatric Medicine,1777,81271
2017Q4,Greater Glasgow and Clyde,Geriatric Medicine,1975,83075
2018Q1,Greater Glasgow and Clyde,Geriatric Medicine,1941,83836
2018Q2,Greater Glasgow and Clyde,Geriatric Medicine,1989,85995
2018Q3,Greater Glasgow and Clyde,Geriatric Medicine,1891,78512
2018Q4,Greater Glasgow and Clyde,Geriatric Medicine,1922,81132
2019Q1,Greater Glasgow and Clyde,Geriatric Medicine,1822,82149
2019Q2,Greater Glasgow and Clyde,Geriatric Medicine,1757,81522
2019Q3,Greater Glasgow and Clyde,Geriatric Medicine,1751,77093
2019Q4,Greater Glasgow and Clyde,Geriatric Medicine,1751,81114
2020Q1,Greater Glasgow and Clyde,Geriatric Medicine,1448,83886
2020Q2,Greater Glasgow and Clyde,Geriatric Medicine,1139,61835
2020Q3,Greater Glasgow and Clyde,Geriatric Medicine,1333,70197
2020Q4,Greater Glasgow and Clyde,Geriatric Medicine,1323,73781
2021Q1,Greater Glasgow and Clyde,Geriatric Medicine,1368,72052
2021Q2,Greater Glasgow and Clyde,Geriatric Medicine,1602,75605
2021Q3,Greater Glasgow and Clyde,Geriatric Medicine,1320,74624
